Year,SST,Caribbean,Long-Line,Trawling,Hooks,Menhaden,Red_Drum,Herring
1950,-0.53027021,-2.603568724,2.5286662,0.69954562,NA,NA,0.18099536,NA
1951,0.49510009,-2.668996868,1.90827337,1.41298143,NA,NA,0.59593691,NA
1952,0.36585021,-2.366671954,1.60951175,1.35696475,NA,NA,0.65297244,NA
1953,0.09546625,-2.453025751,1.31928302,1.61990975,NA,NA,0.7722921,NA
1954,-0.85358931,-2.414277527,0.3367874,1.91718855,NA,NA,0.98254236,NA
1955,-0.52072519,-2.338113821,3.66635498,1.59767238,NA,-0.212849691,1.03518432,NA
1956,-0.92855093,-1.698819282,-0.02747931,1.31788121,NA,0.858080646,0.92847406,NA
1957,0.0587854,-1.508225993,0.50565309,1.0587181,NA,1.892779831,0.69566766,NA
1958,-0.27312836,-1.540836125,0.12631869,1.05902796,NA,0.122576713,0.38393438,NA
1959,-0.42506097,-1.125630157,-0.25257603,1.30748828,NA,3.564135082,-0.04344874,NA
1960,0.02677568,-0.782517057,0.33792502,1.32310178,NA,-0.461518346,-0.37171703,NA
1961,-0.22227735,-0.525669543,0.43946211,0.121266,NA,-1.153277692,-0.60598177,NA
1962,-0.42154448,-0.056004032,0.48959679,0.50215522,NA,-1.132820627,-0.75355585,NA
1963,-0.77794185,-0.185666368,-0.15740578,1.15532506,NA,-0.83049085,-0.85376274,NA
1964,-1.29539244,-0.22135521,0.51013676,0.90146238,NA,-1.612042547,-0.83295742,NA
1965,-1.27292811,-0.081687332,0.41297042,1.12437893,NA,-0.661878531,-0.86277242,0.01523555
1966,-0.92798814,-0.208333579,0.2890563,0.70123516,NA,-0.778439512,-0.91700756,-0.03470043
1967,-1.06712212,0.002127356,-0.34514929,1.12848159,NA,-0.347271286,-0.95291036,1.06162644
1968,-1.12377643,0.130478118,-1.24463222,0.78991328,NA,-2.136080125,-0.86578825,-0.18362065
1969,-0.53280511,0.245423358,-0.62823835,0.54902752,NA,-1.487403293,-0.79605924,-0.1355589
1970,-1.28231041,-0.190976581,-0.7241258,0.91134125,NA,-1.173940359,-0.79510092,-0.97798554
1971,-1.43613615,0.267195431,-0.71963981,0.9054108,NA,-2.619866604,-0.9507734,1.0880103
1972,-1.00258588,0.461543177,-0.5892184,0.74831458,NA,-1.014177055,-1.15709307,-1.0964394
1973,-1.22165918,0.480281349,-0.61557983,0.06164436,NA,-1.194812802,-1.31045059,-1.1851956
